method,trial,nrow,nelem,rt,val
dask,0,1000,10,0.2368186190724373,0.01183288630751673
dask,0,1000,100,0.040747541934251785,-0.0027037305536025975
dask,0,1000,1000,0.06626769155263901,-0.005409076646064335
dask,0,1000,10000,0.20477293711155653,6.186438758137784e-05
dask,0,10000,10,0.03467419929802418,-0.01789649393032802
dask,0,10000,100,0.06846137065440416,-0.009228455319404378
dask,0,10000,1000,0.19724382925778627,-0.003127014850442379
dask,0,10000,10000,0.7509820656850934,0.0004524936390244069
dask,0,100000,10,0.07955215778201818,-0.01763386001132753
dask,0,100000,100,0.7151042558252811,0.016379920782018043
dask,0,100000,1000,0.8560082456097007,0.0019784448800774217
dask,0,100000,10000,19.609365209005773,0.00030797911866480937
dask,1,1000,10,0.09453164413571358,0.01183288630751673
dask,1,1000,100,0.11344008892774582,-0.0027037305536025975
dask,1,1000,1000,0.1380491266027093,-0.005409076646064335
dask,1,1000,10000,0.28148244600743055,6.186438758137784e-05
dask,1,10000,10,0.0980305029079318,-0.01789649393032802
dask,1,10000,100,0.23830102290958166,-0.009228455319404378
dask,1,10000,1000,0.351311725564301,-0.003127014850442379
dask,1,10000,10000,1.2714346200227737,0.0004524936390244069
dask,1,100000,10,0.20094663184136152,-0.01763386001132753
dask,1,100000,100,1.1016316767781973,0.016379920782018043
dask,1,100000,1000,1.6003221105784178,0.0019784448800774217
dask,1,100000,10000,20.15350755676627,0.00030797911866480937
dask,2,1000,10,0.20363508444279432,0.01183288630751673
dask,2,1000,100,0.06684160511940718,-0.0027037305536025975
dask,2,1000,1000,0.07452279701828957,-0.005409076646064335
dask,2,1000,10000,0.2286124937236309,6.186438758137784e-05
dask,2,10000,10,0.08233423437923193,-0.01789649393032802
dask,2,10000,100,0.23763671703636646,-0.009228455319404378
dask,2,10000,1000,0.3135841293260455,-0.003127014850442379
dask,2,10000,10000,1.1240758234634995,0.0004524936390244069
dask,2,100000,10,0.1450162185356021,-0.01763386001132753
dask,2,100000,100,0.9816355211660266,0.016379920782018043
dask,2,100000,1000,1.166814872995019,0.0019784448800774217
dask,2,100000,10000,18.73562509007752,0.00030797911866480937
dask,3,1000,10,0.05483363848179579,0.01183288630751673
dask,3,1000,100,0.054994829930365086,-0.0027037305536025975
dask,3,1000,1000,0.09383486863225698,-0.005409076646064335
dask,3,1000,10000,0.3130665170028806,6.186438758137784e-05
dask,3,10000,10,0.08302072249352932,-0.01789649393032802
dask,3,10000,100,0.12407419644296169,-0.009228455319404378
dask,3,10000,1000,0.3258150750771165,-0.003127014850442379
dask,3,10000,10000,0.9576970739290118,0.0004524936390244069
dask,3,100000,10,0.18158606439828873,-0.01763386001132753
dask,3,100000,100,1.188113554380834,0.016379920782018043
dask,3,100000,1000,1.0992129314690828,0.0019784448800774217
dask,3,100000,10000,18.167709787376225,0.00030797911866480937
dask,4,1000,10,0.06929817702621222,0.01183288630751673
dask,4,1000,100,0.05251965392380953,-0.0027037305536025975
dask,4,1000,1000,0.07466101739555597,-0.005409076646064335
dask,4,1000,10000,0.3091271510347724,6.186438758137784e-05
dask,4,10000,10,0.06288562715053558,-0.01789649393032802
dask,4,10000,100,0.09369044657796621,-0.009228455319404378
dask,4,10000,1000,0.2435529762879014,-0.003127014850442379
dask,4,10000,10000,0.9820689354091883,0.0004524936390244069
dask,4,100000,10,0.23471442982554436,-0.01763386001132753
dask,4,100000,100,1.074815952219069,0.016379920782018043
dask,4,100000,1000,1.2571898335590959,0.0019784448800774217
dask,4,100000,10000,20.68049561418593,0.00030797911866480937
dask,5,1000,10,0.04217657074332237,0.01183288630751673
dask,5,1000,100,0.07276993710547686,-0.0027037305536025975
dask,5,1000,1000,0.07922491431236267,-0.005409076646064335
dask,5,1000,10000,0.2325318893417716,6.186438758137784e-05
dask,5,10000,10,0.07823621854186058,-0.01789649393032802
dask,5,10000,100,0.10642090160399675,-0.009228455319404378
dask,5,10000,1000,0.24921418726444244,-0.003127014850442379
dask,5,10000,10000,0.9716101763769984,0.0004524936390244069
dask,5,100000,10,0.15452577266842127,-0.01763386001132753
dask,5,100000,100,1.319599182344973,0.016379920782018043
dask,5,100000,1000,1.2583982162177563,0.0019784448800774217
dask,5,100000,10000,20.11502803489566,0.00030797911866480937
dask,6,1000,10,0.07790225092321634,0.01183288630751673
dask,6,1000,100,0.06942968536168337,-0.0027037305536025975
dask,6,1000,1000,0.08652710355818272,-0.005409076646064335
dask,6,1000,10000,0.3216156726703048,6.186438758137784e-05
dask,6,10000,10,0.07632223516702652,-0.01789649393032802
dask,6,10000,100,0.10786886047571898,-0.009228455319404378
dask,6,10000,1000,0.2724323980510235,-0.003127014850442379
dask,6,10000,10000,1.034077220596373,0.0004524936390244069
dask,6,100000,10,0.14262009225785732,-0.01763386001132753
dask,6,100000,100,1.2578386841341853,0.016379920782018043
dask,6,100000,1000,0.9903179779648781,0.0019784448800774217
dask,6,100000,10000,18.781075462698936,0.00030797911866480937
dask,7,1000,10,0.0728294076398015,0.01183288630751673
dask,7,1000,100,0.05167056526988745,-0.0027037305536025975
dask,7,1000,1000,0.10333774331957102,-0.005409076646064335
dask,7,1000,10000,0.2577165514230728,6.186438758137784e-05
dask,7,10000,10,0.09591266419738531,-0.01789649393032802
dask,7,10000,100,0.08632472436875105,-0.009228455319404378
dask,7,10000,1000,0.3692180896177888,-0.003127014850442379
dask,7,10000,10000,1.102606998756528,0.0004524936390244069
dask,7,100000,10,0.15514490101486444,-0.01763386001132753
dask,7,100000,100,1.4304335173219442,0.016379920782018043
dask,7,100000,1000,1.1482679564505816,0.0019784448800774217
dask,7,100000,10000,18.54720081202686,0.00030797911866480937
dask,8,1000,10,0.06633582431823015,0.01183288630751673
dask,8,1000,100,0.046958211809396744,-0.0027037305536025975
dask,8,1000,1000,0.06893422082066536,-0.005409076646064335
dask,8,1000,10000,0.3601043550297618,6.186438758137784e-05
dask,8,10000,10,0.06297970376908779,-0.01789649393032802
dask,8,10000,100,0.09887538198381662,-0.009228455319404378
dask,8,10000,1000,0.3639363767579198,-0.003127014850442379
dask,8,10000,10000,1.1272311694920063,0.0004524936390244069
dask,8,100000,10,0.13994194474071264,-0.01763386001132753
dask,8,100000,100,0.9960882719606161,0.016379920782018043
dask,8,100000,1000,1.3998510241508484,0.0019784448800774217
dask,8,100000,10000,19.84306329768151,0.00030797911866480937
dask,9,1000,10,0.1960774827748537,0.01183288630751673
dask,9,1000,100,0.1135297380387783,-0.0027037305536025975
dask,9,1000,1000,0.08431335724890232,-0.005409076646064335
dask,9,1000,10000,0.21931109204888344,6.186438758137784e-05
dask,9,10000,10,0.07820781785994768,-0.01789649393032802
dask,9,10000,100,0.08981452416628599,-0.009228455319404378
dask,9,10000,1000,0.37311683036386967,-0.003127014850442379
dask,9,10000,10000,0.9045626865699887,0.0004524936390244069
dask,9,100000,10,0.1422327747568488,-0.01763386001132753
dask,9,100000,100,1.1795180533081293,0.016379920782018043
dask,9,100000,1000,1.582994437776506,0.0019784448800774217
dask,9,100000,10000,18.123889601789415,0.00030797911866480937
dask,10,1000,10,0.17380590457469225,0.01183288630751673
dask,10,1000,100,0.05681096203625202,-0.0027037305536025975
dask,10,1000,1000,0.0838289326056838,-0.005409076646064335
dask,10,1000,10000,0.22037780564278364,6.186438758137784e-05
dask,10,10000,10,0.07643130421638489,-0.01789649393032802
dask,10,10000,100,0.09184510074555874,-0.009228455319404378
dask,10,10000,1000,0.22705029137432575,-0.003127014850442379
dask,10,10000,10000,0.9528005598112941,0.0004524936390244069
dask,10,100000,10,0.15557937882840633,-0.01763386001132753
dask,10,100000,100,1.363574255257845,0.016379920782018043
dask,10,100000,1000,1.1186267863959074,0.0019784448800774217
dask,10,100000,10000,21.682442259974778,0.00030797911866480937
dask,11,1000,10,0.06455936841666698,0.01183288630751673
dask,11,1000,100,0.05738465767353773,-0.0027037305536025975
dask,11,1000,1000,0.07639592792838812,-0.005409076646064335
dask,11,1000,10000,0.22645826917141676,6.186438758137784e-05
dask,11,10000,10,0.07110523525625467,-0.01789649393032802
dask,11,10000,100,0.16304569505155087,-0.009228455319404378
dask,11,10000,1000,0.24521062336862087,-0.003127014850442379
dask,11,10000,10000,1.3580014621838927,0.0004524936390244069
dask,11,100000,10,0.1523130564019084,-0.01763386001132753
dask,11,100000,100,1.2752269506454468,0.016379920782018043
dask,11,100000,1000,1.115571429952979,0.0019784448800774217
dask,11,100000,10000,22.503219072706997,0.00030797911866480937
dask,12,1000,10,0.15376054402440786,0.01183288630751673
dask,12,1000,100,0.06491294130682945,-0.0027037305536025975
dask,12,1000,1000,0.08013103064149618,-0.005409076646064335
dask,12,1000,10000,0.4418341340497136,6.186438758137784e-05
dask,12,10000,10,0.10111911129206419,-0.01789649393032802
dask,12,10000,100,0.08657089900225401,-0.009228455319404378
dask,12,10000,1000,0.24934941343963146,-0.003127014850442379
dask,12,10000,10000,1.0469460487365723,0.0004524936390244069
dask,12,100000,10,0.15265476889908314,-0.01763386001132753
dask,12,100000,100,1.2591829411685467,0.016379920782018043
dask,12,100000,1000,1.2364294053986669,0.0019784448800774217
