method,trial,nrow,nelem,rt,val
duckdb,0,1000,10,0.30820505786687136,0.01183288630751673
duckdb,0,1000,100,0.16834180802106857,-0.0027037305536025975
duckdb,0,1000,1000,0.17622830159962177,-0.005409076646064335
duckdb,0,1000,10000,0.7088680220767856,6.18643875813776e-05
duckdb,0,10000,10,0.1163789164274931,-0.01789649393032802
duckdb,0,10000,100,0.16542981192469597,-0.009228455319404378
duckdb,0,10000,1000,0.2914875280112028,-0.003127014850442379
duckdb,0,10000,10000,1.4906566524878144,0.0004524936390244063
duckdb,0,100000,10,0.3217803705483675,-0.01763386001132753
duckdb,0,100000,100,0.26365677639842033,0.016379920782018047
duckdb,0,100000,1000,1.002580956555903,0.0019784448800774226
duckdb,0,100000,10000,10.472584542818367,0.00030797911866480975
duckdb,1,1000,10,0.007254176773130894,0.01183288630751673
duckdb,1,1000,100,0.013404171913862228,-0.0027037305536025975
duckdb,1,1000,1000,0.07236106041818857,-0.005409076646064335
duckdb,1,1000,10000,0.5436502378433943,6.186438758137776e-05
duckdb,1,10000,10,0.009285570122301579,-0.01789649393032802
duckdb,1,10000,100,0.02105438243597746,-0.009228455319404378
duckdb,1,10000,1000,0.09401930682361126,-0.003127014850442378
duckdb,1,10000,10000,0.7407693238928914,0.00045249363902440673
duckdb,1,100000,10,0.02268993202596903,-0.01763386001132753
duckdb,1,100000,100,0.04961952194571495,0.016379920782018043
duckdb,1,100000,1000,0.1980642518028617,0.0019784448800774226
duckdb,1,100000,10000,2.3051375932991505,0.00030797911866480953
duckdb,2,1000,10,0.007230011746287346,0.01183288630751673
duckdb,2,1000,100,0.013968500308692455,-0.0027037305536025975
duckdb,2,1000,1000,0.07201176509261131,-0.005409076646064335
duckdb,2,1000,10000,0.5487862676382065,6.186438758137833e-05
duckdb,2,10000,10,0.009050477296113968,-0.01789649393032802
duckdb,2,10000,100,0.020916813984513283,-0.009228455319404378
duckdb,2,10000,1000,0.09218866843730211,-0.003127014850442378
duckdb,2,10000,10000,0.7310884119942784,0.00045249363902440625
duckdb,2,100000,10,0.0222531920298934,-0.01763386001132753
duckdb,2,100000,100,0.049682880751788616,0.016379920782018043
duckdb,2,100000,1000,0.20113631710410118,0.0019784448800774217
duckdb,2,100000,10000,2.2477201437577605,0.00030797911866480926
duckdb,3,1000,10,0.007419317029416561,0.01183288630751673
duckdb,3,1000,100,0.01374554168432951,-0.0027037305536025975
duckdb,3,1000,1000,0.07253123912960291,-0.005409076646064335
duckdb,3,1000,10000,0.5533085875213146,6.186438758137776e-05
duckdb,3,10000,10,0.009115120396018028,-0.01789649393032802
duckdb,3,10000,100,0.021093866787850857,-0.009228455319404378
duckdb,3,10000,1000,0.09321443550288677,-0.003127014850442378
duckdb,3,10000,10000,0.7341469135135412,0.00045249363902440635
duckdb,3,100000,10,0.022495156154036522,-0.01763386001132753
duckdb,3,100000,100,0.047436974942684174,0.016379920782018043
duckdb,3,100000,1000,0.19752293452620506,0.0019784448800774217
duckdb,3,100000,10000,2.250397179275751,0.00030797911866480926
duckdb,4,1000,10,0.007191098295152187,0.01183288630751673
duckdb,4,1000,100,0.013547079637646675,-0.0027037305536025975
duckdb,4,1000,1000,0.07211960759013891,-0.005409076646064335
duckdb,4,1000,10000,0.5422651274129748,6.186438758137776e-05
duckdb,4,10000,10,0.009162810631096363,-0.01789649393032802
duckdb,4,10000,100,0.021181609481573105,-0.009228455319404378
duckdb,4,10000,1000,0.09150449559092522,-0.003127014850442378
duckdb,4,10000,10000,0.7341512711718678,0.0004524936390244067
