method,trial,nrow,nelem,rt,val
pandas,0,1000,10,0.05708111450076103,0.01183288630751673
pandas,0,1000,100,0.07412272691726685,-0.0027037305536025975
pandas,0,1000,1000,0.06996186636388302,-0.005409076646064335
pandas,0,1000,10000,0.3476537335664034,6.186438758137779e-05
pandas,0,10000,10,0.0860824417322874,-0.01789649393032802
pandas,0,10000,100,0.09640267584472895,-0.009228455319404378
pandas,0,10000,1000,0.31030323170125484,-0.0031270148504423797
pandas,0,10000,10000,2.8520729085430503,0.00045249363902440673
pandas,0,100000,10,0.13045779149979353,-0.01763386001132753
pandas,0,100000,100,0.41084023006260395,0.016379920782018047
pandas,0,100000,1000,2.728590212762356,0.001978444880077422
pandas,0,100000,10000,18.445459661073983,0.0003079791186648099
pandas,1,1000,10,0.0070354389026761055,0.01183288630751673
pandas,1,1000,100,0.00668437872081995,-0.0027037305536025975
pandas,1,1000,1000,0.01532003190368414,-0.005409076646064335
pandas,1,1000,10000,0.1063001872971654,6.186438758137779e-05
pandas,1,10000,10,0.01047514658421278,-0.01789649393032802
pandas,1,10000,100,0.018263577483594418,-0.009228455319404378
pandas,1,10000,1000,0.10879288800060749,-0.0031270148504423797
pandas,1,10000,10000,1.0617311801761389,0.00045249363902440673
pandas,1,100000,10,0.04346218518912792,-0.01763386001132753
pandas,1,100000,100,0.13609815947711468,0.016379920782018047
pandas,1,100000,1000,1.1277705309912562,0.001978444880077422
pandas,1,100000,10000,10.616715922951698,0.0003079791186648099
pandas,2,1000,10,0.0063631655648350716,0.01183288630751673
pandas,2,1000,100,0.00631348229944706,-0.0027037305536025975
pandas,2,1000,1000,0.015150774270296097,-0.005409076646064335
pandas,2,1000,10000,0.10450498852878809,6.186438758137779e-05
pandas,2,10000,10,0.00985571276396513,-0.01789649393032802
pandas,2,10000,100,0.017480287700891495,-0.009228455319404378
pandas,2,10000,1000,0.111295435577631,-0.0031270148504423797
pandas,2,10000,10000,1.0038935262709856,0.00045249363902440673
pandas,2,100000,10,0.04374264180660248,-0.01763386001132753
pandas,2,100000,100,0.1449082400649786,0.016379920782018047
pandas,2,100000,1000,1.0844342727214098,0.001978444880077422
pandas,2,100000,10000,10.506229847669601,0.0003079791186648099
pandas,3,1000,10,0.006505603902041912,0.01183288630751673
pandas,3,1000,100,0.006317771039903164,-0.0027037305536025975
pandas,3,1000,1000,0.016395950689911842,-0.005409076646064335
pandas,3,1000,10000,0.11543424520641565,6.186438758137779e-05
pandas,3,10000,10,0.010072650387883186,-0.01789649393032802
pandas,3,10000,100,0.017758449539542198,-0.009228455319404378
pandas,3,10000,1000,0.11264159251004457,-0.0031270148504423797
pandas,3,10000,10000,1.0333046317100525,0.00045249363902440673
pandas,3,100000,10,0.041127341799438,-0.01763386001132753
pandas,3,100000,100,0.1482401955872774,0.016379920782018047
pandas,3,100000,1000,1.1463652597740293,0.001978444880077422
pandas,3,100000,10000,10.517301734536886,0.0003079791186648099
pandas,4,1000,10,0.006447667255997658,0.01183288630751673
pandas,4,1000,100,0.006764481775462627,-0.0027037305536025975
pandas,4,1000,1000,0.017308208160102367,-0.005409076646064335
pandas,4,1000,10000,0.10375153552740812,6.186438758137779e-05
pandas,4,10000,10,0.00988613162189722,-0.01789649393032802
pandas,4,10000,100,0.017524784430861473,-0.009228455319404378
pandas,4,10000,1000,0.11522968672215939,-0.0031270148504423797
pandas,4,10000,10000,1.069754053838551,0.00045249363902440673
pandas,4,100000,10,0.04343867115676403,-0.01763386001132753
pandas,4,100000,100,0.13484009727835655,0.016379920782018047
pandas,4,100000,1000,1.1353563386946917,0.001978444880077422
pandas,4,100000,10000,10.61310488730669,0.0003079791186648099
pandas,5,1000,10,0.006702525541186333,0.01183288630751673
pandas,5,1000,100,0.006393385119736195,-0.0027037305536025975
pandas,5,1000,1000,0.016317988745868206,-0.005409076646064335
pandas,5,1000,10000,0.11194508895277977,6.186438758137779e-05
pandas,5,10000,10,0.010070398449897766,-0.01789649393032802
pandas,5,10000,100,0.01873849332332611,-0.009228455319404378
pandas,5,10000,1000,0.11632319074124098,-0.0031270148504423797
pandas,5,10000,10000,1.0674044825136662,0.00045249363902440673
pandas,5,100000,10,0.04191832710057497,-0.01763386001132753
pandas,5,100000,100,0.14870896749198437,0.016379920782018047
pandas,5,100000,1000,1.1128988536074758,0.001978444880077422
pandas,5,100000,10000,10.670246336609125,0.0003079791186648099
pandas,6,1000,10,0.0062788985669612885,0.01183288630751673
pandas,6,1000,100,0.006379549391567707,-0.0027037305536025975
pandas,6,1000,1000,0.01652524806559086,-0.005409076646064335
pandas,6,1000,10000,0.10255171172320843,6.186438758137779e-05
pandas,6,10000,10,0.010018400847911835,-0.01789649393032802
pandas,6,10000,100,0.01852982211858034,-0.009228455319404378
pandas,6,10000,1000,0.11153021082282066,-0.0031270148504423797
pandas,6,10000,10000,1.046752325259149,0.00045249363902440673
pandas,6,100000,10,0.043403785675764084,-0.01763386001132753
pandas,6,100000,100,0.13465737458318472,0.016379920782018047
pandas,6,100000,1000,1.1241644946858287,0.001978444880077422
pandas,6,100000,10000,10.530311864800751,0.0003079791186648099
pandas,7,1000,10,0.006596805527806282,0.01183288630751673
pandas,7,1000,100,0.0065406309440732,-0.0027037305536025975
pandas,7,1000,1000,0.015729163773357868,-0.005409076646064335
pandas,7,1000,10000,0.11143564246594906,6.186438758137779e-05
pandas,7,10000,10,0.009600777179002762,-0.01789649393032802
pandas,7,10000,100,0.017470452934503555,-0.009228455319404378
pandas,7,10000,1000,0.10619246773421764,-0.0031270148504423797
pandas,7,10000,10000,1.0051569053903222,0.00045249363902440673
pandas,7,100000,10,0.04209674242883921,-0.01763386001132753
pandas,7,100000,100,0.13540783431380987,0.016379920782018047
pandas,7,100000,1000,1.056780464015901,0.001978444880077422
pandas,7,100000,10000,10.414217974990606,0.0003079791186648099
pandas,8,1000,10,0.0064498307183384895,0.01183288630751673
pandas,8,1000,100,0.006094152107834816,-0.0027037305536025975
pandas,8,1000,1000,0.015871601179242134,-0.005409076646064335
pandas,8,1000,10000,0.10687143355607986,6.186438758137779e-05
pandas,8,10000,10,0.009878518991172314,-0.01789649393032802
pandas,8,10000,100,0.018343021161854267,-0.009228455319404378
pandas,8,10000,1000,0.11050887312740088,-0.0031270148504423797
pandas,8,10000,10000,1.0557292001321912,0.00045249363902440673
pandas,8,100000,10,0.04173705540597439,-0.01763386001132753
pandas,8,100000,100,0.13834813330322504,0.016379920782018047
pandas,8,100000,1000,1.1101647596806288,0.001978444880077422
pandas,8,100000,10000,10.381293307058513,0.0003079791186648099
pandas,9,1000,10,0.006248012185096741,0.01183288630751673
pandas,9,1000,100,0.0061384160071611404,-0.0027037305536025975
pandas,9,1000,1000,0.0139376912266016,-0.005409076646064335
pandas,9,1000,10000,0.1150438990443945,6.186438758137779e-05
pandas,9,10000,10,0.009894799441099167,-0.01789649393032802
pandas,9,10000,100,0.0175533602014184,-0.009228455319404378
pandas,9,10000,1000,0.10855415370315313,-0.0031270148504423797
pandas,9,10000,10000,1.021339988335967,0.00045249363902440673
pandas,9,100000,10,0.04407002031803131,-0.01763386001132753
pandas,9,100000,100,0.14416425954550505,0.016379920782018047
pandas,9,100000,1000,1.1691937139257789,0.001978444880077422
pandas,9,100000,10000,10.564987597055733,0.0003079791186648099
pandas,10,1000,10,0.006390820257365704,0.01183288630751673
pandas,10,1000,100,0.006112447939813137,-0.0027037305536025975
pandas,10,1000,1000,0.014805770479142666,-0.005409076646064335
pandas,10,1000,10000,0.10788341332226992,6.186438758137779e-05
pandas,10,10000,10,0.009748565033078194,-0.01789649393032802
pandas,10,10000,100,0.018253074027597904,-0.009228455319404378
pandas,10,10000,1000,0.11526945326477289,-0.0031270148504423797
pandas,10,10000,10000,1.0535045024007559,0.00045249363902440673
pandas,10,100000,10,0.040906249545514584,-0.01763386001132753
pandas,10,100000,100,0.14112307783216238,0.016379920782018047
pandas,10,100000,1000,1.1430841777473688,0.001978444880077422
pandas,10,100000,10000,10.503774356096983,0.0003079791186648099
pandas,11,1000,10,0.006659534759819508,0.01183288630751673
pandas,11,1000,100,0.006045551970601082,-0.0027037305536025975
pandas,11,1000,1000,0.01573321223258972,-0.005409076646064335
pandas,11,1000,10000,0.10333455260843039,6.186438758137779e-05
pandas,11,10000,10,0.009440867230296135,-0.01789649393032802
pandas,11,10000,100,0.018115906976163387,-0.009228455319404378
pandas,11,10000,1000,0.11411259975284338,-0.0031270148504423797
pandas,11,10000,10000,1.0716378623619676,0.00045249363902440673
pandas,11,100000,10,0.042064033448696136,-0.01763386001132753
pandas,11,100000,100,0.1383124915882945,0.016379920782018047
pandas,11,100000,1000,1.1612076396122575,0.001978444880077422
pandas,11,100000,10000,10.591461256146431,0.0003079791186648099
pandas,12,1000,10,0.006423580460250378,0.01183288630751673
pandas,12,1000,100,0.006094112992286682,-0.0027037305536025975
pandas,12,1000,1000,0.014968756586313248,-0.005409076646064335
pandas,12,1000,10000,0.10911784134805202,6.186438758137779e-05
pandas,12,10000,10,0.00967129971832037,-0.01789649393032802
