dataset,subject,session,sub_ses,fmap,task
NKI,A00031893,BAS1,sub-A00031893_ses-BAS1,none,task-rest_acq-1400
NKI,A00035377,BAS1,sub-A00035377_ses-BAS1,none,task-rest_acq-1400
NKI,A00035827,BAS2,sub-A00035827_ses-BAS2,none,task-rest_acq-1400
NKI,A00040815,BAS1,sub-A00040815_ses-BAS1,none,task-rest_acq-1400
NKI,A00052182,FLU2,sub-A00052182_ses-FLU2,none,task-rest_acq-1400
NKI,A00065992,TRT,sub-A00065992_ses-TRT,none,task-rest_acq-1400
NKI,A00066860,BAS1,sub-A00066860_ses-BAS1,none,task-rest_acq-1400
NKI,A00066865,BAS1,sub-A00066865_ses-BAS1,none,task-rest_acq-1400
NKI,A00074709,BAS1,sub-A00074709_ses-BAS1,none,task-rest_acq-1400
NKI,A00081552,FLU1,sub-A00081552_ses-FLU1,none,task-rest_acq-1400
HBN,NDARAA306NT2,HBNsiteRU,sub-NDARAA306NT2_ses-HBNsiteRU,epi,task-rest_run-1
HBN,NDARBE091BGD,HBNsiteRU,sub-NDARBE091BGD_ses-HBNsiteRU,epi,task-rest_run-1
HBN,NDARDZ266KET,HBNsiteRU,sub-NDARDZ266KET_ses-HBNsiteRU,epi,task-rest_run-1
HBN,NDARFG943GVZ,HBNsiteCBIC,sub-NDARFG943GVZ_ses-HBNsiteCBIC,epi,task-rest_run-1
HBN,NDARFM229HHA,HBNsiteCBIC,sub-NDARFM229HHA_ses-HBNsiteCBIC,epi,task-rest_run-1
HBN,NDARHW933UVJ,HBNsiteCBIC,sub-NDARHW933UVJ_ses-HBNsiteCBIC,epi,task-rest_run-1
HBN,NDARJL656RDA,HBNsiteCBIC,sub-NDARJL656RDA_ses-HBNsiteCBIC,epi,task-rest_run-1
HBN,NDARMB857WG7,HBNsiteCBIC,sub-NDARMB857WG7_ses-HBNsiteCBIC,epi,task-rest_run-1
HBN,NDARMG263JRX,HBNsiteRU,sub-NDARMG263JRX_ses-HBNsiteRU,epi,task-rest_run-1
HBN,NDARMV718DYL,HBNsiteRU,sub-NDARMV718DYL_ses-HBNsiteRU,epi,task-rest_run-1
PNC,1161831083,PNC1,sub-1161831083_ses-PNC1,phasediff,task-rest_acq-singleband
PNC,1169616649,PNC1,sub-1169616649_ses-PNC1,phasediff,task-rest_acq-singleband
PNC,1695950181,PNC1,sub-1695950181_ses-PNC1,phasediff,task-rest_acq-singleband
PNC,2824066679,PNC1,sub-2824066679_ses-PNC1,phasediff,task-rest_acq-singleband
PNC,3092187032,PNC1,sub-3092187032_ses-PNC1,phasediff,task-rest_acq-singleband
PNC,3123810007,PNC1,sub-3123810007_ses-PNC1,phasediff,task-rest_acq-singleband
PNC,3176046588,PNC1,sub-3176046588_ses-PNC1,phasediff,task-rest_acq-singleband
PNC,3185151244,PNC1,sub-3185151244_ses-PNC1,phasediff,task-rest_acq-singleband
PNC,3692156343,PNC1,sub-3692156343_ses-PNC1,phasediff,task-rest_acq-singleband
PNC,56162563,PNC1,sub-56162563_ses-PNC1,phasediff,task-rest_acq-singleband
