dataset,subject,session,fmap,task
CCNP,colornest001,1,none,task-rest_run-01
CCNP,colornest001,1,none,task-rest_run-02
CCNP,colornest012,1,none,task-rest_run-01
CCNP,colornest012,1,none,task-rest_run-02
CCNP,colornest023,1,none,task-rest_acq-VARIANTObliquity_run-02
CCNP,colornest023,1,none,task-rest_acq-VARIANTObliquityVoxelSizeDim3_run-01
CCNP,colornest035,1,none,task-rest_run-01
CCNP,colornest052,1,none,task-rest_acq-VARIANTObliquity_run-02
CCNP,colornest052,1,none,task-rest_acq-VARIANTObliquityVoxelSizeDim3_run-01
CCNP,colornest063,1,none,task-rest_acq-VARIANTVoxelSizeDim3_run-01
CCNP,colornest063,1,none,task-rest_run-02
CCNP,colornest073,1,none,task-rest_acq-VARIANTObliquity_run-02
CCNP,colornest073,1,none,task-rest_acq-VARIANTObliquityVoxelSizeDim3_run-01
CCNP,colornest104,1,none,task-rest_acq-VARIANTObliquityVoxelSizeDim3_run-01
CCNP,colornest104,1,none,task-rest_acq-VARIANTObliquityVoxelSizeDim3_run-02
CCNP,colornest134,1,none,task-rest_acq-VARIANTObliquity_run-01
CCNP,colornest134,1,none,task-rest_acq-VARIANTObliquity_run-02
CCNP,colornest137,1,none,task-rest_acq-VARIANTObliquityVoxelSizeDim3_run-01
CCNP,colornest137,1,none,task-rest_acq-VARIANTObliquityVoxelSizeDim3_run-02
CCNP,colornest140,1,none,task-rest_acq-VARIANTObliquity_run-01
CCNP,colornest140,1,none,task-rest_acq-VARIANTObliquity_run-02
HBN,NDARAA075AMK,HBNsiteSI,unknown,task-rest_acq-VARIANTObliquity
HBN,NDARAA306NT2,HBNsiteRU,epi,task-movieDM
HBN,NDARAA306NT2,HBNsiteRU,epi,task-movieTP
HBN,NDARAA306NT2,HBNsiteRU,epi,task-peer_run-1
HBN,NDARAA306NT2,HBNsiteRU,epi,task-peer_run-3
HBN,NDARAA306NT2,HBNsiteRU,epi,task-rest_run-1
HBN,NDARAA306NT2,HBNsiteRU,epi,task-rest_run-2
HBN,NDARAA504CRN,HBNsiteCBIC,epi,task-rest_run-1
HBN,NDARAA504CRN,HBNsiteCBIC,epi,task-rest_run-2
HBN,NDARAC853CR6,HBNsiteCUNY,epi,task-movieDM
HBN,NDARAC853CR6,HBNsiteCUNY,epi,task-movieTP
HBN,NDARAC853CR6,HBNsiteCUNY,epi,task-peer_run-1
HBN,NDARAC853CR6,HBNsiteCUNY,epi,task-peer_run-3
HBN,NDARAC853CR6,HBNsiteCUNY,epi,task-rest_run-1
HBN,NDARAJ689BVN,HBNsiteRU,epi,task-movieTP
HBN,NDARAJ689BVN,HBNsiteRU,epi,task-peer_run-1
HBN,NDARAJ689BVN,HBNsiteRU,epi,task-peer_run-2
HBN,NDARAJ689BVN,HBNsiteRU,epi,task-peer_run-3
HBN,NDARAL897CYV,HBNsiteCUNY,epi,task-movieDM
HBN,NDARAL897CYV,HBNsiteCUNY,epi,task-movieTP
HBN,NDARAL897CYV,HBNsiteCUNY,epi,task-peer_run-1
HBN,NDARAL897CYV,HBNsiteCUNY,epi,task-peer_run-3
HBN,NDARAL897CYV,HBNsiteCUNY,epi,task-rest_run-1
HBN,NDARAL897CYV,HBNsiteCUNY,epi,task-rest_run-2
HBN,NDARAM848GTE,HBNsiteRU,epi,task-movieDM_acq-VARIANTObliquity
HBN,NDARAM848GTE,HBNsiteRU,epi,task-movieTP_acq-VARIANTObliquity
HBN,NDARAM848GTE,HBNsiteRU,epi,task-peer_acq-VARIANTObliquity_run-1
HBN,NDARAM848GTE,HBNsiteRU,epi,task-peer_acq-VARIANTObliquity_run-2
HBN,NDARAM848GTE,HBNsiteRU,epi,task-peer_acq-VARIANTObliquity_run-3
HBN,NDARAM848GTE,HBNsiteRU,epi,task-rest_acq-VARIANTObliquity_run-1
HBN,NDARAM848GTE,HBNsiteRU,epi,task-rest_acq-VARIANTObliquity_run-2
HBN,NDARAM873GAC,HBNsiteCBIC,epi,task-movieDM_acq-ABCD
HBN,NDARAM873GAC,HBNsiteCBIC,epi,task-movieTP_acq-ABCD
HBN,NDARAM873GAC,HBNsiteCBIC,epi,task-peer_acq-ABCD_run-1
HBN,NDARAM873GAC,HBNsiteCBIC,epi,task-peer_acq-ABCD_run-2
HBN,NDARAM873GAC,HBNsiteCBIC,epi,task-peer_acq-ABCD_run-3
HBN,NDARAP176AD1,HBNsiteRU,unknown,task-movieDM
HBN,NDARAP176AD1,HBNsiteRU,unknown,task-movieTP
HBN,NDARAP176AD1,HBNsiteRU,unknown,task-peer_run-1
HBN,NDARAP176AD1,HBNsiteRU,unknown,task-peer_run-2
HBN,NDARAP176AD1,HBNsiteRU,unknown,task-peer_run-3
HBN,NDARAP176AD1,HBNsiteRU,unknown,task-rest_run-1
HBN,NDARAP176AD1,HBNsiteRU,unknown,task-rest_run-2
HBN,NDARAR545KXM,HBNsiteCBIC,epi,task-movieDM_acq-VARIANTObliquity
HBN,NDARAR545KXM,HBNsiteCBIC,epi,task-movieTP_acq-VARIANTObliquity
HBN,NDARAR545KXM,HBNsiteCBIC,epi,task-peer_acq-VARIANTObliquity_run-1
HBN,NDARAV519RND,HBNsiteCBIC,epi,task-movieDM_acq-ABCDVARIANTNumVolumes
HBN,NDARAV519RND,HBNsiteCBIC,epi,task-movieTP_acq-ABCD
HBN,NDARAV519RND,HBNsiteCBIC,epi,task-peer_acq-ABCD_run-1
HBN,NDARAV519RND,HBNsiteCBIC,epi,task-peer_acq-ABCD_run-2
HBN,NDARAV519RND,HBNsiteCBIC,epi,task-peer_acq-ABCD_run-3
HBN,NDARAV519RND,HBNsiteCBIC,epi,task-rest_acq-ABCD_run-1
