method,trial,nrow,nelem,rt,val
vaex,0,1000,10,0.8419402586296201,0.01183288630751673
vaex,0,1000,100,0.03618926275521517,-0.0027037305536025975
vaex,0,1000,1000,0.05450483039021492,-0.005409076646064335
vaex,0,1000,10000,0.14198267553001642,6.186438758137779e-05
vaex,0,10000,10,0.06446721404790878,-0.01789649393032802
vaex,0,10000,100,0.08181286882609129,-0.009228455319404378
vaex,0,10000,1000,0.1506714979186654,-0.0031270148504423797
vaex,0,10000,10000,0.39997993130236864,0.00045249363902440673
vaex,0,100000,10,0.22708429861813784,-0.01763386001132753
vaex,0,100000,100,0.24470135383307934,0.016379920782018047
vaex,0,100000,1000,0.43590004928410053,0.001978444880077422
vaex,0,100000,10000,3.085807322524488,0.0003079791186648099
vaex,1,1000,10,0.01776873040944338,0.01183288630751673
vaex,1,1000,100,0.01850137487053871,-0.0027037305536025975
vaex,1,1000,1000,0.03447259124368429,-0.005409076646064335
vaex,1,1000,10000,0.12430306244641542,6.186438758137779e-05
vaex,1,10000,10,0.031726124696433544,-0.01789649393032802
vaex,1,10000,100,0.08302305079996586,-0.009228455319404378
vaex,1,10000,1000,0.13024290464818478,-0.0031270148504423797
vaex,1,10000,10000,0.2714328607544303,0.00045249363902440673
vaex,1,100000,10,0.1563386581838131,-0.01763386001132753
vaex,1,100000,100,0.19368192832916975,0.016379920782018047
vaex,1,100000,1000,0.3430557092651725,0.001978444880077422
vaex,1,100000,10000,2.7363792788237333,0.0003079791186648099
vaex,2,1000,10,0.04746200796216726,0.01183288630751673
vaex,2,1000,100,0.03638123441487551,-0.0027037305536025975
vaex,2,1000,1000,0.04004174657166004,-0.005409076646064335
vaex,2,1000,10000,0.10363522917032242,6.186438758137779e-05
vaex,2,10000,10,0.04147896450012922,-0.01789649393032802
vaex,2,10000,100,0.03926917631179094,-0.009228455319404378
vaex,2,10000,1000,0.11446289904415607,-0.0031270148504423797
vaex,2,10000,10000,0.3484988296404481,0.00045249363902440673
vaex,2,100000,10,0.15592836774885654,-0.01763386001132753
vaex,2,100000,100,0.2586361253634095,0.016379920782018047
vaex,2,100000,1000,0.8101361291483045,0.001978444880077422
vaex,2,100000,10000,3.8342775059863925,0.0003079791186648099
vaex,3,1000,10,0.017260205000638962,0.01183288630751673
vaex,3,1000,100,0.016440575942397118,-0.0027037305536025975
vaex,3,1000,1000,0.0260101230815053,-0.005409076646064335
vaex,3,1000,10000,0.07465044222772121,6.186438758137779e-05
vaex,3,10000,10,0.030462130904197693,-0.01789649393032802
vaex,3,10000,100,0.03757361229509115,-0.009228455319404378
vaex,3,10000,1000,0.07051249407231808,-0.0031270148504423797
vaex,3,10000,10000,0.45661419816315174,0.00045249363902440673
vaex,3,100000,10,0.19769814796745777,-0.01763386001132753
vaex,3,100000,100,0.3419642597436905,0.016379920782018047
vaex,3,100000,1000,0.39009122643619776,0.001978444880077422
vaex,3,100000,10000,2.7623618906363845,0.0003079791186648099
vaex,4,1000,10,0.2304919259622693,0.01183288630751673
vaex,4,1000,100,0.03985324315726757,-0.0027037305536025975
vaex,4,1000,1000,0.03582849632948637,-0.005409076646064335
vaex,4,1000,10000,0.08300919458270073,6.186438758137779e-05
vaex,4,10000,10,0.028833312913775444,-0.01789649393032802
vaex,4,10000,100,0.034048885107040405,-0.009228455319404378
vaex,4,10000,1000,0.08692780323326588,-0.0031270148504423797
vaex,4,10000,10000,0.2441041236743331,0.00045249363902440673
vaex,4,100000,10,0.15171721205115318,-0.01763386001132753
vaex,4,100000,100,0.18859955575317144,0.016379920782018047
vaex,4,100000,1000,0.36219706665724516,0.001978444880077422
vaex,4,100000,10000,3.11075144354254,0.0003079791186648099
vaex,5,1000,10,0.02197553776204586,0.01183288630751673
vaex,5,1000,100,0.01792421191930771,-0.0027037305536025975
vaex,5,1000,1000,0.027966726571321487,-0.005409076646064335
vaex,5,1000,10000,0.09006442036479712,6.186438758137779e-05
vaex,5,10000,10,0.030144955962896347,-0.01789649393032802
vaex,5,10000,100,0.0422467365860939,-0.009228455319404378
vaex,5,10000,1000,0.0847645215690136,-0.0031270148504423797
vaex,5,10000,10000,0.3281389130279422,0.00045249363902440673
vaex,5,100000,10,0.18847955111414194,-0.01763386001132753
vaex,5,100000,100,0.24519074335694313,0.016379920782018047
vaex,5,100000,1000,0.42029803805053234,0.001978444880077422
